college,4_year,5_year,6_year
Anderson Schools of Management,7.6600%,20.1600%,22.5800%
College of Arts and Sciences,7.0900%,16.7800%,19.2400%
College of Education,2.5200%,10.6900%,13.8400%
College of Fine Arts,9.0900%,16.0800%,19.5800%
College of Nursing,7.3500%,9.5600%,10.2900%
College of Pharmacy,10.7100%,14.2900%,14.2900%
School of Arch. and Planning,3.2300%,9.6800%,14.5200%
School of Engineering,0.3900%,1.9500%,3.8900%
School of Medicine,0%,1.0200%,1.0200%
University College,0.1100%,0.2200%,0.2200%
