Fall to Fall Retention for First-time Students - Transfers Included,,,,,,,,
,,Fall 2012,,,Fall 2013,,,% Graduated
College,Major,Enrolled,Graduated,Total,Enrolled,Graduated,% Retained,
Anderson Schools of Management,Business Administration,420,0,420,326,7,77.62%,1.67%
Totals - Anderson Schools of Management  ,,420,0,420,326,7,77.62%,1.67%
College of Arts and Sciences,Africana Studies,1,0,1,1,0,100.00%,0.00%
,American Studies,3,0,3,3,0,100.00%,0.00%
,Anthropology,52,0,52,41,0,78.85%,0.00%
,Asian Studies,1,0,1,1,0,100.00%,0.00%
,Astrophysics,10,0,10,6,0,60.00%,0.00%
,Biochemistry,76,0,76,64,0,84.21%,0.00%
,Biology,435,0,435,357,0,82.07%,0.00%
,Chemistry,39,0,39,33,0,84.62%,0.00%
,Classical Studies,1,0,1,0,0,0.00%,0.00%
,Communication,51,0,51,39,0,76.47%,0.00%
,Comp Lit & Cultural Studies,1,0,1,1,0,100.00%,0.00%
,Criminology,173,0,173,137,2,79.19%,1.16%
,Earth & Planetary Sciences,16,0,16,12,0,75.00%,0.00%
,Economics,20,0,20,15,0,75.00%,0.00%
,English,62,0,62,47,0,75.81%,0.00%
,English-Philosophy,9,0,9,9,0,100.00%,0.00%
,Environmental Science,25,0,25,17,0,68.00%,0.00%
,European Studies,1,0,1,1,0,100.00%,0.00%
,French,1,0,1,1,0,100.00%,0.00%
,Geography,3,0,3,2,0,66.67%,0.00%
,German,2,0,2,2,0,100.00%,0.00%
,"Health,Medicine & Human Values",10,0,10,10,0,100.00%,0.00%
,History,44,0,44,37,0,84.09%,0.00%
,Interdisciplinary,4,0,4,3,0,75.00%,0.00%
,International Studies,15,0,15,11,0,73.33%,0.00%
,Journalism,13,0,13,10,0,76.92%,0.00%
,Journalism & Mass Comm,52,0,52,36,1,69.23%,1.92%
,Languages,23,0,23,16,0,69.57%,0.00%
,Latin American Studies,4,0,4,3,0,75.00%,0.00%
,Linguistics,20,0,20,16,0,80.00%,0.00%
,Mathematics,25,0,25,23,0,92.00%,0.00%
,Philosophy,10,0,10,8,0,80.00%,0.00%
,Physics,18,0,18,16,0,88.89%,0.00%
,Physics & Astrophysics,7,0,7,6,0,85.71%,0.00%
,Political Science,72,0,72,58,1,80.56%,1.39%
,Portuguese,1,0,1,0,0,0.00%,0.00%
,Psychology,300,0,300,245,1,81.67%,0.33%
,Religious Studies,7,0,7,4,0,57.14%,0.00%
,Russian,1,0,1,1,0,100.00%,0.00%
,Russian Studies,1,0,1,1,0,100.00%,0.00%
,Signed Language Interpreting,6,0,6,5,0,83.33%,0.00%
,Sociology,43,0,43,27,0,62.79%,0.00%
,Spanish,14,0,14,10,0,71.43%,0.00%
,Speech & Hearing Sciences,26,0,26,20,0,76.92%,0.00%
,Statistics,2,0,2,2,0,100.00%,0.00%
,Women Studies,4,0,4,3,0,75.00%,0.00%
Totals - College of Arts and Sciences,,1704,0,1704,1360,5,79.81%,0.29%
College of Education,Art Education,7,0,7,6,0,85.71%,0.00%
,Athletic Training,65,0,65,50,0,76.92%,0.00%
,Bilingual Education,2,0,2,2,0,100.00%,0.00%
,Communicative Arts Composite,2,0,2,2,0,100.00%,0.00%
,Early Childhood Multicult Ed,28,0,28,20,1,71.43%,3.57%
,Earth Science Education,1,0,1,1,0,100.00%,0.00%
,Elementary Education,96,0,96,73,1,76.04%,1.04%
,Exercise Science,62,0,62,47,0,75.81%,0.00%
,Family Studies,13,0,13,10,0,76.92%,0.00%
,Health Education,22,0,22,17,0,77.27%,0.00%
,Human Devel & Family Relations,8,0,8,5,0,62.50%,0.00%
,Life Science Education,1,0,1,1,0,100.00%,0.00%
,Mathematics Education,5,0,5,3,0,60.00%,0.00%
,Nutrition/Dietetics,35,0,35,24,0,68.57%,0.00%
,Physical Education,16,0,16,10,0,62.50%,0.00%
,Physical Science Education,5,0,5,3,0,60.00%,0.00%
,Secondary Education,24,0,24,13,0,54.17%,0.00%
,Social Studies Education,6,0,6,5,0,83.33%,0.00%
,Special Education,14,0,14,12,0,85.71%,0.00%
,Teach Engl to Speakers Oth Lan,2,0,2,0,0,0.00%,0.00%
,Technology & Training,2,0,2,2,0,100.00%,0.00%
,Theatre,1,0,1,1,0,100.00%,0.00%
Totals - College of Education,,417,0,417,307,2,73.62%,0.48%
College of Fine Arts,Art History,2,0,2,2,0,100.00%,0.00%
,Art Studio,14,0,14,9,0,64.29%,0.00%
,Dance,4,0,4,3,0,75.00%,0.00%
,Interdisc Film & Digital Media,6,0,6,5,0,83.33%,0.00%
,Media Arts,9,0,9,6,0,66.67%,0.00%
,Music,8,0,8,6,0,75.00%,0.00%
,Music Education,6,0,6,4,0,66.67%,0.00%
,Pre Art History,7,0,7,4,0,57.14%,0.00%
,Pre Art Studio,52,0,52,39,0,75.00%,0.00%
,Pre Dance,15,0,15,13,0,86.67%,0.00%
,Pre Design for Performance,7,0,7,5,0,71.43%,0.00%
