"Fall to Fall Retention for First-time, Full-time Students - No Transfers",,,,,,,,
,,Fall 2012,,,Fall 2013,,,
College,Major,Enrolled,Graduated,Total,Enrolled,Graduated,% Retained,% Graduated
Anderson Schools of Management,Business Administration,248,0,248,193,0,77.82%,0.00%
Totals - Anderson Schools of Management  ,,248,0,248,193,0,77.82%,0.00%
College of Arts and Sciences,American Studies,1,0,1,1,0,100.00%,0.00%
,Anthropology,29,0,29,24,0,82.76%,0.00%
,Asian Studies,1,0,1,1,0,100.00%,0.00%
,Astrophysics,8,0,8,6,0,75.00%,0.00%
,Biochemistry,64,0,64,55,0,85.94%,0.00%
,Biology,335,0,335,285,0,85.07%,0.00%
,Chemistry,31,0,31,25,0,80.65%,0.00%
,Classical Studies,1,0,1,0,0,0.00%,0.00%
,Communication,27,0,27,23,0,85.19%,0.00%
,Comp Lit & Cultural Studies,1,0,1,1,0,100.00%,0.00%
,Criminology,135,0,135,111,0,82.22%,0.00%
,Earth & Planetary Sciences,6,0,6,6,0,100.00%,0.00%
,Economics,12,0,12,10,0,83.33%,0.00%
,English,51,0,51,39,0,76.47%,0.00%
,English-Philosophy,6,0,6,6,0,100.00%,0.00%
,Environmental Science,16,0,16,11,0,68.75%,0.00%
,French,1,0,1,1,0,100.00%,0.00%
,Geography,1,0,1,1,0,100.00%,0.00%
,German,2,0,2,2,0,100.00%,0.00%
,"Health,Medicine & Human Values",15,0,15,14,0,93.33%,0.00%
,History,26,0,26,23,0,88.46%,0.00%
,Interdisciplinary,3,0,3,3,0,100.00%,0.00%
,International Studies,9,0,9,8,0,88.89%,0.00%
,Journalism,13,0,13,10,0,76.92%,0.00%
,Journalism & Mass Comm,32,0,32,24,0,75.00%,0.00%
,Languages,17,0,17,12,0,70.59%,0.00%
,Latin American Studies,4,0,4,3,0,75.00%,0.00%
,Linguistics,11,0,11,11,0,100.00%,0.00%
,Mathematics,16,0,16,15,0,93.75%,0.00%
,Philosophy,3,0,3,3,0,100.00%,0.00%
,Physics,12,0,12,10,0,83.33%,0.00%
,Physics & Astrophysics,5,0,5,4,0,80.00%,0.00%
,Political Science,52,0,52,43,0,82.69%,0.00%
,Psychology,182,0,182,147,0,80.77%,0.00%
,Religious Studies,4,0,4,2,0,50.00%,0.00%
,Russian,1,0,1,1,0,100.00%,0.00%
,Russian Studies,1,0,1,1,0,100.00%,0.00%
,Signed Language Interpreting,5,0,5,5,0,100.00%,0.00%
,Sociology,14,0,14,9,0,64.29%,0.00%
,Spanish,12,0,12,10,0,83.33%,0.00%
,Speech & Hearing Sciences,13,0,13,10,0,76.92%,0.00%
,Statistics,2,0,2,2,0,100.00%,0.00%
,Women Studies,3,0,3,3,0,100.00%,0.00%
Totals - College of Arts and Sciences  ,,1183,0,1183,981,0,82.92%,0.00%
College of Education,Art Education,3,0,3,2,0,66.67%,0.00%
,Athletic Training,56,0,56,44,0,78.57%,0.00%
,Bilingual Education,2,0,2,2,0,100.00%,0.00%
,Communicative Arts Composite,1,0,1,1,0,100.00%,0.00%
,Early Childhood Multicult Ed,8,0,8,7,0,87.50%,0.00%
,Earth Science Education,1,0,1,1,0,100.00%,0.00%
,Elementary Education,49,0,49,36,0,73.47%,0.00%
,Exercise Science,45,0,45,34,0,75.56%,0.00%
,Family Studies,3,0,3,2,0,66.67%,0.00%
,Health Education,19,0,19,14,0,73.68%,0.00%
,Human Devel & Family Relations,4,0,4,3,0,75.00%,0.00%
,Life Science Education,1,0,1,1,0,100.00%,0.00%
,Mathematics Education,5,0,5,3,0,60.00%,0.00%
,Nutrition/Dietetics,22,0,22,19,0,86.36%,0.00%
,Physical Education,6,0,6,5,0,83.33%,0.00%
,Physical Science Education,4,0,4,3,0,75.00%,0.00%
,Secondary Education,11,0,11,7,0,63.64%,0.00%
,Social Studies Education,2,0,2,2,0,100.00%,0.00%
,Special Education,3,0,3,3,0,100.00%,0.00%
,Teach Engl to Speakers Oth Lan,1,0,1,0,0,0.00%,0.00%
,Theatre,1,0,1,1,0,100.00%,0.00%
Totals - College of Education  ,,247,0,247,190,0,76.92%,0.00%
College of Fine Arts,Art History,1,0,1,1,0,100.00%,0.00%
,Art Studio,12,0,12,8,0,66.67%,0.00%
,Dance,4,0,4,3,0,75.00%,0.00%
,Interdisc Film & Digital Media,6,0,6,5,0,83.33%,0.00%
,Media Arts,7,0,7,4,0,57.14%,0.00%
,Music,6,0,6,5,0,83.33%,0.00%
,Music Education,6,0,6,4,0,66.67%,0.00%
,Pre Art History,4,0,4,2,0,50.00%,0.00%
,Pre Art Studio,35,0,35,30,0,85.71%,0.00%
,Pre Dance,12,0,12,11,0,91.67%,0.00%
,Pre Design for Performance,5,0,5,4,0,80.00%,0.00%
,Pre IFDM,23,0,23,20,0,86.96%,0.00%
,Pre Media Arts,27,0,27,20,0,74.07%,0.00%
,Pre Music,30,0,30,23,0,76.67%,0.00%
,Pre Music Education,13,0,13,8,0,61.54%,0.00%
,Pre Theatre,16,0,16,10,0,62.50%,0.00%
,Theatre,3,0,3,2,0,66.67%,0.00%
Totals - College of Fine Arts    ,,210,0,210,160,0,76.19%,0.00%
College of Nursing,Nursing,250,0,250,190,0,76.00%,0.00%
Totals - College of Nursing,,250,0,250,190,0,76.00%,0.00%
College of Pharmacy,Doctor of Pharmacy,85,0,85,70,0,82.35%,0.00%
Totals - College of Pharmacy,,85,0,85,70,0,82.35%,0.00%
School of Arch. and Planning,Architecture,62,0,62,46,0,74.19%,0.00%
,Environmental Design,3,0,3,3,0,100.00%,0.00%
Totals - School of Arch. and Planning,,65,0,65,49,0,75.38%,0.00%
School of Engineering,Chemical Engineering,16,0,16,11,0,68.75%,0.00%
,Civil Engineering,25,0,25,18,0,72.00%,0.00%
,Computer Engineering,33,0,33,26,0,78.79%,0.00%
,Computer Science,38,0,38,29,0,76.32%,0.00%
,Construction Engineering,3,0,3,2,0,66.67%,0.00%
,Construction Management,5,0,5,3,0,60.00%,0.00%
,Electrical Engineering,20,0,20,15,0,75.00%,0.00%
,General Engineering,190,0,190,157,0,82.63%,0.00%
,Mechanical Engineering,48,0,48,36,0,75.00%,0.00%
,Nuclear Engineering,2,0,2,1,0,50.00%,0.00%
Totals - School of Engineering,,380,0,380,298,0,78.42%,0.00%
School of Medicine,Dental Hygiene,29,0,29,25,0,86.21%,0.00%
,Emergency Medical Services,33,0,33,27,0,81.82%,0.00%
,Medical Laboratory Sciences,42,0,42,32,0,76.19%,0.00%
,Nuclear Medicine Imaging,1,0,1,1,0,100.00%,0.00%
,Radiologic Sciences,27,0,27,18,0,66.67%,0.00%
Totals - School of Medicine,,132,0,132,103,0,78.03%,0.00%
University College,Undecided,566,0,566,437,0,77.21%,0.00%
,University Studies,6,0,6,3,0,50.00%,0.00%
