college,major,4_year,5_year,6_year
Anderson Schools of Management,Business Administration,11.900%,20.4100%,26.8700%
College of Arts and Sciences,Africana Studies,0%,0%,0%
College of Arts and Sciences,American Studies,0%,0%,0%
College of Arts and Sciences,Anthropology,23.8100%,23.8100%,23.8100%
College of Arts and Sciences,Art,0%,0%,0%
College of Arts and Sciences,Asian Studies,0%,0%,0%
College of Arts and Sciences,Astrophysics,0%,0%,0%
College of Arts and Sciences,Biochemistry,11.1100%,22.2200%,22.2200%
College of Arts and Sciences,Biology,4.8700%,13.8600%,16.8500%
College of Arts and Sciences,Chemistry,3.8500%,11.5400%,11.5400%
College of Arts and Sciences,Classical Studies,0%,0%,0%
College of Arts and Sciences,Communication,0%,0%,0%
College of Arts and Sciences,Comp Lit & Cultural Studies,0%,0%,0%
College of Arts and Sciences,Criminology,10.7500%,20.4300%,24.7300%
College of Arts and Sciences,Earth & Planetary Sciences,0%,25.00%,50.0%
College of Arts and Sciences,Economics,0%,0%,0%
College of Arts and Sciences,English,12.900%,17.7400%,22.5800%
College of Arts and Sciences,English-Philosophy,0%,16.6700%,16.6700%
College of Arts and Sciences,Environmental Science,0%,17.6500%,17.6500%
College of Arts and Sciences,European Studies,0%,0%,0%
College of Arts and Sciences,French,100%,100%,100%
College of Arts and Sciences,Geography,50.0%,50.0%,50.0%
College of Arts and Sciences,German,0%,0%,0%
College of Arts and Sciences,"Health,Medicine & Human Values",7.1400%,7.1400%,7.1400%
College of Arts and Sciences,History,4.2600%,12.7700%,19.1500%
College of Arts and Sciences,Interdisciplinary,16.6700%,16.6700%,16.6700%
College of Arts and Sciences,Journalism,0%,0%,0%
College of Arts and Sciences,Journalism & Mass Comm,5.5600%,16.6700%,16.6700%
College of Arts and Sciences,Languages,5.5600%,16.6700%,22.2200%
College of Arts and Sciences,Linguistics,0%,0%,0%
College of Arts and Sciences,Mass Communication,0%,0%,0%
College of Arts and Sciences,Mathematics,21.4300%,21.4300%,21.4300%
College of Arts and Sciences,Philosophy,0%,0%,0%
College of Arts and Sciences,Physics,23.0800%,23.0800%,23.0800%
College of Arts and Sciences,Physics & Astrophysics,0%,0%,0%
College of Arts and Sciences,Political Science,11.1100%,18.5200%,20.9900%
College of Arts and Sciences,Psychology,7.2300%,19.8800%,22.8900%
College of Arts and Sciences,Religious Studies,0%,0%,0%
College of Arts and Sciences,Russian,0%,0%,0%
College of Arts and Sciences,Russian Studies,0%,0%,0%
College of Arts and Sciences,Signed Language Interpreting,0%,0%,0%
College of Arts and Sciences,Sociology,7.1400%,14.2900%,21.4300%
College of Arts and Sciences,Spanish,0%,7.6900%,15.3800%
College of Arts and Sciences,Speech & Hearing Sciences,0%,25.00%,25.00%
College of Arts and Sciences,Statistics,0%,0%,100%
College of Arts and Sciences,Women Studies,0%,0%,0%
College of Education,Art Education,11.1100%,11.1100%,11.1100%
College of Education,Athletic Training,5.5600%,5.5600%,8.3300%
College of Education,Bilingual Education,0%,0%,0%
College of Education,Early Childhood Multicult Ed,0%,9.0900%,18.1800%
College of Education,Earth Science Education,0%,0%,0%
College of Education,Elementary Education,7.2500%,17.3900%,17.3900%
College of Education,Exercise Science,3.0300%,24.2400%,27.2700%
College of Education,Family Studies,0%,0%,0%
College of Education,Health Education,0%,20.0%,20.0%
College of Education,Human Devel & Family Relations,0%,0%,0%
College of Education,Life Science Education,0%,0%,0%
College of Education,Mathematics Education,0%,0%,0%
College of Education,Nutrition/Dietetics,0%,0%,0%
College of Education,Physical Education,0%,0%,0%
College of Education,Physical Science Education,0%,0%,0%
College of Education,Social Studies Education,0%,0%,0%
College of Education,Special Education,50.0%,50.0%,50.0%
College of Education,Teach Engl to Speakers Oth Lan,0%,0%,0%
College of Education,Technology & Training,0%,0%,0%
College of Fine Arts,Art History,0%,0%,0%
College of Fine Arts,Art Studio,21.4300%,28.5700%,28.5700%
College of Fine Arts,Dance,14.2900%,42.8600%,42.8600%
College of Fine Arts,Design for Performance,0%,0%,0%
College of Fine Arts,Media Arts,7.8400%,13.7300%,19.6100%
College of Fine Arts,Music,1.7900%,3.5700%,7.1400%
College of Fine Arts,Music Education,0%,11.7600%,29.4100%
College of Fine Arts,Theatre,6.4500%,9.6800%,12.900%
College of Nursing,Nursing,5.9300%,8.8900%,11.1100%
College of Pharmacy,Doctor of Pharmacy,7.5900%,11.3900%,11.3900%
School of Arch. and Planning,Architecture,7.5900%,17.7200%,20.2500%
School of Arch. and Planning,Environmental Design,0%,0%,100%
School of Engineering,Civil Engineering,0%,0%,0%
School of Engineering,Computer Engineering,0%,0%,0%
School of Engineering,Computer Science,0%,2.9400%,2.9400%
School of Engineering,Construction Engineering,0%,0%,0%
School of Engineering,Construction Management,0%,0%,0%
School of Engineering,Electrical Engineering,0%,0%,0%
School of Engineering,General Engineering,0%,0%,0%
School of Engineering,Mechanical Engineering,0%,7.1400%,10.7100%
School of Engineering,Nuclear Engineering,0%,0%,0%
School of Medicine,Dental Hygiene,6.4500%,9.6800%,16.1300%
School of Medicine,Emergency Medical Services,0%,0%,0%
School of Medicine,Medical Laboratory Sciences,0%,0%,0%
School of Medicine,Nuclear Medicine Imaging,0%,0%,0%
School of Medicine,Physician Assistant Studies,0%,0%,0%
School of Medicine,Radiography,0%,0%,0%
School of Medicine,Radiologic Sciences,0%,0%,7.6900%
University College,Native American Studies,100%,100%,100%
University College,Undecided,0.1500%,0.1500%,0.1500%
University College,University Studies,0%,7.1400%,14.2900%
